id;word
1;的
2;一
3;是
4;不
5;了
6;在
7;人
8;有
9;我
10;他
11;这
12;个
13;们
14;中
15;来
16;上
17;大
18;为
19;和
20;国
21;地
22;到
23;以
24;说
25;时
26;要
27;就
28;出
29;会
30;可
31;也
32;你
33;对
34;生
35;能
36;而
37;子
38;那
39;得
40;于
41;着
42;下
43;自
44;之
45;年
46;过
47;发
48;后
49;作
50;里
51;用
52;道
53;行
54;所
55;然
56;家
57;种
58;事
59;成
60;方
61;多
62;经
63;么
64;去
65;法
66;学
67;如
68;都
69;同
70;现
71;当
72;没
73;动
74;面
75;起
76;看
77;定
78;天
79;分
80;还
81;进
82;好
83;小
84;部
85;其
86;些
87;主
88;样
89;理
90;心
91;她
92;本
93;前
94;开
95;但
96;因
97;只
98;从
99;想
100;实
101;日
102;军
103;者
104;意
105;无
106;力
107;它
108;与
109;长
110;把
111;机
112;十
113;民
114;第
115;公
116;此
117;已
118;工
119;使
120;情
121;明
122;性
123;知
124;全
125;三
126;又
127;关
128;点
129;正
130;业
131;外
132;将
133;两
134;高
135;间
136;由
137;问
138;很
139;最
140;重
141;并
142;物
143;手
144;应
145;战
146;向
147;头
148;文
149;体
150;政
151;美
152;相
153;见
154;被
155;利
156;什
157;二
158;等
159;产
160;或
161;新
162;己
163;制
164;身
165;果
166;加
167;西
168;月
169;话
170;合
171;回
172;特
173;代
174;内
175;信
176;表
177;化
178;老
179;给
180;世
181;位
182;次
183;度
184;门
185;任
186;常
187;先
188;海
189;通
190;教
191;儿
192;原
193;东
194;声
195;提
196;立
197;及
198;比
199;员
200;解
201;水
202;名
203;真
204;论
205;处
206;走
207;义
208;各
209;入
210;几
211;口
212;认
213;条
214;平
215;系
216;气
217;题
218;活
219;尔
220;更
221;别
222;打
223;女
224;变
225;四
226;神
227;总
228;何
229;电
230;数
231;安
232;少
233;报
234;才
235;结
236;反
237;受
238;目
239;太
240;量
241;再
242;感
243;建
244;务
245;做
246;接
247;必
248;场
249;件
250;计
251;管
252;期
253;市
254;直
255;德
256;资
257;命
258;山
259;金
260;指
261;克
262;许
263;统
264;区
265;保
266;至
267;队
268;形
269;社
270;便
271;空
272;决
273;治
274;展
275;马
276;科
277;司
278;五
279;基
280;眼
281;书
282;非
283;则
284;听
285;白
286;却
287;界
288;达
289;光
290;放
291;强
292;即
293;像
294;难
295;且
296;权
297;思
298;王
299;象
300;完
301;设
302;式
303;色
304;路
305;记
306;南
307;品
308;住
309;告
310;类
311;求
312;据
313;程
314;北
315;边
316;死
317;张
318;该
319;交
320;规
321;万
322;取
323;拉
324;格
325;望
326;觉
327;术
328;领
329;共
330;确
331;传
332;师
333;观
334;清
335;今
336;切
337;院
338;让
339;识
340;候
341;带
342;导
343;争
344;运
345;笑
346;飞
347;风
348;步
349;改
350;收
351;根
352;干
353;造
354;言
355;联
356;持
357;组
358;每
359;济
360;车
361;亲
362;极
363;林
364;服
365;快
366;办
367;议
368;往
369;元
370;英
371;士
372;证
373;近
374;失
375;转
376;夫
377;令
378;准
379;布
380;始
381;怎
382;呢
383;存
384;未
385;远
386;叫
387;台
388;单
389;影
390;具
391;字
392;爱
393;击
394;流
395;备
396;兵
397;连
398;调
399;深
400;商
401;算
402;质
403;团
404;集
